aid,year,gpa,pvt,grad,fam_mig,fam_inc,fam_edu,avg_peer_gpa
57100270,1991,2.167,8,0,0.578,0.915,0.866,2.66333648393195
57103869,1991,2,83,0,0.818,0.933,0.887,2.66365217391304
57120371,1991,3.067,90,1,0.9,0.904,0.889,2.66163516068053
57213037,1991,1.583,87,1,0.757,0.896,0.684,2.6644404536862
57228523,1991,1.875,83,0,0.755,0.931,0.803,2.66388846880907
57235039,1991,3.091,116,1,0.746,0.868,0.801,2.66158979206049
88191364,1991,2,110,1,0.516,0.932,0.823,2.66365217391304
90500059,1991,3,116,1,0.969,0.916,0.587,2.6617618147448
90500217,1991,2.3,71,1,0.928,0.841,0.935,2.66308506616257
90500914,1991,2.833,93,1,0.756,0.934,0.756,2.6620775047259
90504248,1991,0.5,91,0,0.992,0.933,0.82,2.66648771266541
90506040,1991,1.071,82,0,0.792,0.915,0.97,2.66540831758034
90506372,1991,3.417,104,1,0.946,0.913,0.803,2.66097353497165
90508033,1991,3,107,1,0.941,0.925,0.904,2.6617618147448
90543102,1991,3.083,90,1,0.824,0.94,0.71,2.66160491493384
90570184,1991,2.714,106,1,0.953,0.927,0.824,2.66230245746692
90570280,1991,2.143,115,1,0.992,0.917,0.759,2.66338185255199
90570582,1991,3.429,116,1,0.969,0.892,0.802,2.66095085066163
90570626,1991,3.556,100,1,0.721,0.909,0.743,2.66071077504726
90570725,1991,2.941,110,1,0.749,0.917,0.857,2.66187334593573
90570892,1991,3,116,1,0.946,0.971,0.879,2.6617618147448
90571276,1991,1.091,86,1,0.806,0.944,0.885,2.66537051039698
90571402,1991,2,96,1,0.552,0.921,0.854,2.66365217391304
90571861,1991,3,114,1,0.856,0.902,0.853,2.6617618147448
90571913,1991,3.25,107,1,0.91,0.965,0.932,2.66128922495274
90572323,1991,3,77,1,0.589,0.887,0.836,2.6617618147448
90572341,1991,0.909,85,1,0.917,0.884,0.843,2.6657145557656
90572983,1991,2.933,107,1,0.919,0.952,0.919,2.66188846880907
90573194,1991,3.786,102,1,0.787,0.91,0.861,2.66027599243856
90575118,1991,2.143,118,1,0.645,0.873,0.856,2.66338185255199
90575288,1991,2.833,108,1,0.641,0.917,0.958,2.6620775047259
90575623,1991,2.25,116,1,0.691,0.941,0.863,2.66317958412098
90575966,1991,3.143,116,1,0.588,0.934,0.975,2.66149149338374
90576485,1991,2.917,115,1,0.867,0.926,0.811,2.66191871455577
90576522,1991,2.692,104,1,0.986,0.935,0.875,2.66234404536862
90577065,1991,1.923,81,1,0.678,0.927,0.886,2.663797731569
90577119,1991,2.455,70,1,0.686,0.906,0.793,2.66279206049149
90577259,1991,2.286,111,1,0.861,0.885,0.835,2.66311153119093
90577516,1991,4,95,1,0.811,0.937,0.876,2.65987145557656
90577920,1991,2.571,106,1,0.832,0.948,0.874,2.66257277882798
90578105,1991,2,83,1,0.613,0.903,0.892,2.66365217391304
90578380,1991,1.769,8,1,0.914,0.932,0.911,2.66408884688091
90578805,1991,2.167,71,1,0.861,0.944,0.918,2.66333648393195
90578813,1991,4,110,1,0.788,0.927,0.935,2.65987145557656
90578985,1991,3.75,115,1,0.914,0.932,0.911,2.66034404536862
90579944,1991,1.455,93,1,0.979,0.921,0.697,2.66468241965974
90606629,1991,1.5,99,0,0.884,0.907,0.872,2.66459735349717
90614876,1991,3.429,118,1,0.598,0.926,0.738,2.66095085066163
90619265,1991,3,118,1,0.764,0.847,0.51,2.6617618147448
90646128,1991,0.615,111,1,0.338,0.942,0.976,2.66627032136106
90676321,1991,1.154,102,1,0.875,0.905,0.957,2.66525141776938
90676422,1991,4,115,1,0.429,0.811,0.782,2.65987145557656
91500226,1991,3.25,118,1,0.823,0.908,0.727,2.66128922495274
91500238,1991,2.417,111,1,0.794,0.966,0.832,2.66286389413989
91504629,1991,1.857,114,1,0.855,0.847,0.773,2.6639224952741
91506304,1991,3.167,112,1,0.861,0.911,0.704,2.66144612476371
91506894,1991,2.917,90,1,0.729,0.918,0.957,2.66191871455577
91506902,1991,1.667,100,1,0.777,0.917,0.904,2.66428166351607
91506955,1991,3.5,106,1,0.715,0.896,0.897,2.66081663516068
91507010,1991,4,107,1,0.912,0.854,0.814,2.65987145557656
91507851,1991,4,116,1,0.943,0.962,0.876,2.65987145557656
91508948,1991,2.222,104,1,0.73,0.956,0.773,2.66323251417769
91540453,1991,1.75,116,1,0.99,0.935,0.798,2.6641247637051
91544202,1991,2.167,118,1,0.658,0.908,0.834,2.66333648393195
91544302,1991,2.333,107,1,0.75,0.925,0.846,2.66302268431002
91570412,1991,2.333,90,1,0.941,0.886,0.88,2.66302268431002
91570553,1991,1,90,0,0.916,0.91,0.818,2.66554253308129
91570986,1991,1.067,73,0,0.794,0.962,0.905,2.66541587901701
91571467,1991,1.5,104,1,0.984,0.963,0.93,2.66459735349717
91571707,1991,3.5,107,1,0.911,0.909,0.919,2.66081663516068
91571876,1991,1.571,87,1,0.885,0.937,0.89,2.66446313799622
91572001,1991,3.667,122,1,0.814,0.829,0.84,2.66050094517959
91572040,1991,1,119,1,0.792,0.957,0.908,2.66554253308129
91572122,1991,2.167,91,1,0.988,0.901,0.855,2.66333648393195
91572204,1991,3,114,1,0.69,0.879,0.79,2.6617618147448
91572221,1991,3.5,119,1,0.862,0.915,0.831,2.66081663516068
91572373,1991,2.083,102,1,0.786,0.945,0.864,2.66349527410208
91572389,1991,3.733,111,1,0.744,0.94,0.936,2.66037618147448
91572841,1991,1.8,103,1,0.906,0.927,0.886,2.66403024574669
91572986,1991,4,83,0,0.744,0.94,0.936,2.65987145557656
91573234,1991,3.714,118,1,0.784,0.874,0.974,2.66041209829868
91573334,1991,2.357,106,1,0.999,0.976,0.978,2.66297731568998
91574143,1991,3.8,116,1,0.96,0.925,0.845,2.66024952741021
91574231,1991,2.429,106,1,0.898,0.941,0.976,2.66284120982987
91574632,1991,3.75,112,1,0.933,0.935,0.757,2.66034404536862
91574923,1991,3.571,119,1,0.737,0.858,0.806,2.66068241965974
91575162,1991,2.333,108,1,0.728,0.98,0.964,2.66302268431002
91575191,1991,3.833,119,1,0.847,0.921,0.869,2.66018714555766
91575194,1991,3.333,110,1,0.851,0.882,0.957,2.66113232514178
91575216,1991,2.875,116,1,0.645,0.873,0.856,2.66199810964083
91575249,1991,2.929,106,1,0.507,0.904,0.845,2.66189603024575
91575280,1991,2.556,90,1,0.834,0.918,0.89,2.6626011342155
91575391,1991,2.25,110,0,0.767,0.901,0.899,2.66317958412098
91575628,1991,1.667,104,1,0.605,0.939,0.835,2.66428166351607
91575930,1991,2.1,90,1,0.955,0.961,0.913,2.66346313799622
91575992,1991,3.417,106,1,0.81,0.876,0.908,2.66097353497165
91576088,1991,3.75,122,1,0.891,0.922,0.894,2.66034404536862
91576363,1991,3.5,75,1,0.946,0.943,0.898,2.66081663516068
91576674,1991,3.333,103,1,0.987,0.922,0.815,2.66113232514178
91576748,1991,1.643,107,1,0.985,0.949,0.892,2.66432703213611
91576919,1991,2.4,118,1,0.838,0.837,0.748,2.66289603024575
91577221,1991,3,120,1,0.972,0.963,0.722,2.6617618147448
91577256,1991,3,111,1,0.935,0.93,0.832,2.6617618147448
91577414,1991,3.083,103,1,0.903,0.927,0.925,2.66160491493384
91578074,1991,1.5,108,1,0.904,0.943,0.856,2.66459735349717
91578193,1991,2.167,104,1,0.877,0.957,0.834,2.66333648393195
91578297,1991,2.583,87,1,0.702,0.956,0.788,2.66255009451796
91578491,1991,2.25,115,1,0.59,0.823,0.645,2.66317958412098
91578495,1991,2.5,103,1,0.555,0.932,0.832,2.66270699432892
91578526,1991,2.786,115,1,0.836,0.872,0.925,2.66216635160681
91578917,1991,3.5,112,1,0.982,0.91,0.894,2.66081663516068
91578999,1991,2.167,108,1,0.877,0.957,0.834,2.66333648393195
91579235,1991,3.625,116,1,0.636,0.952,0.904,2.66058034026465
91579272,1991,2.75,90,1,0.836,0.948,0.83,2.66223440453686
91579296,1991,2.813,85,1,0.795,0.938,0.838,2.66211531190926
91608475,1991,2.833,108,1,0.986,0.929,0.862,2.6620775047259
91614578,1991,3.286,119,1,0.616,0.862,0.781,2.66122117202269
91614772,1991,3.25,93,1,0.692,0.962,0.887,2.66128922495274
91646122,1991,1.5,85,1,0.743,0.949,0.891,2.66459735349717
91676253,1991,3.333,100,1,0.767,0.827,0.73,2.66113232514178
92504321,1991,2.615,110,1,0.671,0.789,0.799,2.66248960302458
92506287,1991,1.333,122,0,0.867,0.926,0.811,2.66491304347826
92506993,1991,3.167,100,1,0.946,0.913,0.84,2.66144612476371
