aid,year,gpa,pvt,grad,fam_mig,fam_inc,fam_edu,avg_peer_gpa
57111071,1995,3,107,1,0.705,0.941,0.919,2.60328756957329
57121476,1995,1.667,87,1,0.839,0.94,0.773,2.60576066790353
57138056,1995,0.462,106,0,0.752,0.933,0.864,2.60799628942486
57164981,1995,2.75,74,1,0.792,0.915,0.97,2.60375139146568
57167951,1995,4,106,1,0.797,0.943,0.986,2.60143228200371
57177419,1995,1.875,108,1,0.836,0.908,0.88,2.60537476808906
57178982,1995,1.929,93,1,0.953,0.936,0.976,2.6052745825603
57199896,1995,2.786,96,1,0.753,0.862,0.797,2.60368460111317
57212679,1995,1.125,106,0,0.972,0.86,0.742,2.60676623376624
57239974,1995,2.091,107,1,0.865,0.948,0.769,2.60497402597403
57245293,1995,0.286,83,1,0.776,0.961,0.84,2.60832282003711
57260813,1995,1.929,108,0,0.852,0.937,0.836,2.6052745825603
88191219,1995,0.5,120,1,0.79,0.949,0.795,2.60792578849722
90316053,1995,2.846,93,1,0.975,0.913,0.87,2.603573283859
90571103,1995,1.857,90,1,0.886,0.934,0.937,2.60540816326531
90571217,1995,2.625,100,1,0.875,0.858,0.903,2.60398330241188
90571805,1995,2.429,95,1,0.704,0.913,0.87,2.60434693877551
90571816,1995,3,106,1,0.904,0.931,0.835,2.60328756957329
90572169,1995,2.923,103,1,0.757,0.936,0.817,2.60343042671614
90572325,1995,0.923,87,1,0.862,0.915,0.831,2.60714100185529
90572389,1995,2.941,78,1,0.699,0.949,0.921,2.60339703153989
90572925,1995,0.929,81,0,0.589,0.887,0.836,2.60712987012987
90573212,1995,1.75,91,1,0.732,0.912,0.905,2.60560667903525
90573618,1995,2.333,104,1,0.935,0.931,0.856,2.60452504638219
90573954,1995,2.824,108,1,0.934,0.948,0.79,2.60361410018553
90575229,1995,1.214,93,1,0.563,0.921,0.895,2.60660111317254
90577227,1995,4,118,1,0.992,0.799,0.713,2.60143228200371
90710194,1995,3.333,108,1,0.924,0.913,0.782,2.60266975881262
90712140,1995,2.667,93,1,0.855,0.91,0.856,2.60390538033395
90712211,1995,4,91,1,0.913,0.921,0.826,2.60143228200371
90712914,1995,0.818,89,0,0.886,0.974,0.845,2.60733580705009
90712997,1995,2.357,78,0,0.921,0.938,0.836,2.60448051948052
90713391,1995,4,90,1,0.787,0.91,0.861,2.60143228200371
90713930,1995,3.733,118,1,0.71,0.881,0.662,2.60192764378479
90714022,1995,2.5,81,1,0.855,0.847,0.773,2.60421521335807
90715198,1995,1.692,90,1,0.968,0.919,0.859,2.60571428571429
90715353,1995,2.071,93,1,0.766,0.955,0.935,2.60501113172542
90715988,1995,3.214,91,1,0.781,0.934,0.823,2.6028905380334
90715993,1995,2.714,106,1,0.854,0.93,0.853,2.60381818181818
90716050,1995,2.313,104,1,0.974,0.921,0.915,2.60456215213358
90716352,1995,1.909,102,0,0.984,0.947,0.89,2.60531168831169
90716390,1995,1,79,0,0.802,0.949,0.838,2.60699814471243
90716951,1995,2.5,112,1,0.915,0.93,0.912,2.60421521335807
90716969,1995,3.643,119,1,0.878,0.918,0.782,2.60209461966605
90716973,1995,3.083,91,1,0.673,0.956,0.866,2.60313358070501
90716978,1995,3.706,110,1,0.673,0.956,0.866,2.60197773654917
90716994,1995,2.583,108,1,0.827,0.935,0.981,2.6040612244898
90717150,1995,2.667,107,1,0.934,0.856,0.914,2.60390538033395
90717158,1995,3.833,83,1,0.938,0.94,0.801,2.60174211502783
90717362,1995,3.133,103,1,0.949,0.93,0.91,2.60304081632653
90718115,1995,3.529,91,1,0.798,0.979,0.987,2.60230612244898
90718183,1995,3,111,1,0.753,0.976,0.935,2.60328756957329
90718280,1995,2.357,77,1,0.77,0.907,0.856,2.60448051948052
90718303,1995,1.125,81,1,0.767,0.858,0.809,2.60676623376624
90719275,1995,2.571,106,1,0.881,0.947,0.82,2.60408348794063
90719937,1995,3.167,87,1,0.765,0.94,0.801,2.60297773654917
90719972,1995,2.636,104,1,0.874,0.962,0.872,2.60396289424861
91316152,1995,2.429,77,1,0.975,0.913,0.87,2.60434693877551
91374977,1995,3.571,106,1,0.694,0.927,0.905,2.60222820037106
91506146,1995,3.467,118,1,0.971,0.939,0.813,2.6024211502783
91506443,1995,3.167,108,1,0.858,0.914,0.877,2.60297773654917
91570525,1995,3.25,107,1,0.721,0.909,0.743,2.60282374768089
91571116,1995,3.125,104,1,0.91,0.965,0.932,2.60305565862709
91572128,1995,2.286,100,1,0.862,0.915,0.831,2.60461224489796
91572222,1995,2.167,96,1,0.855,0.912,0.789,2.60483302411874
91572387,1995,3,103,1,0.462,0.922,0.822,2.60328756957329
91573417,1995,2,108,1,0.767,0.934,0.845,2.60514285714286
91573811,1995,1.75,100,1,0.703,0.92,0.843,2.60560667903525
91574504,1995,3.571,116,1,0.911,0.858,0.996,2.60222820037106
91575240,1995,3.5,107,1,0.961,0.767,0.797,2.6023599257885
91575943,1995,2.615,85,1,0.87,0.833,0.786,2.60400185528757
91575949,1995,1.737,110,1,0.768,0.929,0.835,2.60563079777366
91576240,1995,3,98,1,0.858,0.914,0.877,2.60328756957329
91619064,1995,3,120,1,0.816,0.98,0.881,2.60328756957329
91619862,1995,0.875,119,1,0.905,0.955,0.977,2.60723005565863
91710037,1995,2.154,104,1,0.906,0.966,0.962,2.60485714285715
91710214,1995,2.417,104,0,0.852,0.939,0.851,2.60436920222635
91710252,1995,0.385,70,1,0.907,0.9,0.792,2.60813914656772
91710287,1995,1,91,1,0.986,0.934,0.689,2.60699814471243
91710339,1995,2,86,1,0.925,0.906,0.774,2.60514285714286
91710652,1995,3.333,108,1,0.787,0.944,0.89,2.60266975881262
91710996,1995,3.5,107,1,0.918,0.895,0.757,2.6023599257885
91711065,1995,1.7,102,1,0.856,0.902,0.853,2.60569944341373
91712217,1995,2.667,90,1,0.777,0.958,0.79,2.60390538033395
91712842,1995,3.5,102,1,0.888,0.876,0.851,2.6023599257885
91712902,1995,3.188,102,1,0.758,0.959,0.787,2.60293877551021
91712905,1995,1.789,91,1,0.591,0.874,0.864,2.60553432282004
91712918,1995,2.667,75,1,0.814,0.934,0.775,2.60390538033395
91713006,1995,2.2,91,1,0.834,0.921,0.818,2.60477179962894
91713106,1995,3.083,90,1,0.709,0.906,0.85,2.60313358070501
91713192,1995,2.571,90,1,0.83,0.959,0.909,2.60408348794063
91713298,1995,2.286,104,1,0.799,0.919,0.861,2.60461224489796
91714099,1995,1.545,104,1,0.837,0.93,0.735,2.60598701298701
91714212,1995,1.308,79,0,0.602,0.937,0.886,2.606426716141
91714326,1995,3.214,100,1,0.894,0.891,0.785,2.6028905380334
91714338,1995,3.25,104,1,0.755,0.889,0.807,2.60282374768089
91714928,1995,0.938,90,0,0.791,0.888,0.789,2.60711317254175
91714938,1995,0.786,71,0,0.866,0.897,0.89,2.60739517625232
91714987,1995,2.333,103,1,0.801,0.926,0.864,2.60452504638219
91715286,1995,3.133,93,1,0.781,0.934,0.823,2.60304081632653
91715927,1995,2.455,86,1,0.605,0.939,0.835,2.6042987012987
91715930,1995,1.5,93,1,0.953,0.928,0.869,2.60607050092765
91715952,1995,3.375,99,1,0.504,0.944,0.785,2.6025918367347
91716080,1995,1.417,104,1,0.867,0.926,0.811,2.60622448979592
91716096,1995,3.714,99,1,0.681,0.941,0.95,2.60196289424861
91716281,1995,3.917,96,1,0.768,0.913,0.793,2.60158627087199
91716321,1995,2.75,108,1,0.961,0.919,0.725,2.60375139146568
91716484,1995,2.5,103,1,0.867,0.926,0.811,2.60421521335807
91716890,1995,2,75,1,0.578,0.915,0.866,2.60514285714286
91716957,1995,1.333,102,1,0.708,0.886,0.835,2.60638033395176
91717067,1995,1.929,104,0,0.785,0.955,0.83,2.6052745825603
91717169,1995,3,93,1,0.788,0.946,0.834,2.60328756957329
91717910,1995,3.714,118,1,0.699,0.971,0.878,2.60196289424861
91717918,1995,3.5,111,1,0.699,0.971,0.878,2.6023599257885
91718073,1995,2.083,89,1,0.951,0.936,0.848,2.60498886827458
91718142,1995,3.75,120,1,0.77,0.937,0.81,2.60189610389611
91718174,1995,2.583,89,1,0.898,0.897,0.768,2.6040612244898
91718287,1995,1.857,83,1,0.862,0.935,0.928,2.60540816326531
91718844,1995,3.444,122,1,0.89,0.945,0.903,2.6024638218924
