aid,year,gpa,pvt,grad,fam_mig,fam_inc,fam_edu,avg_peer_gpa
57118381,1996,3.25,106,1,0.657,0.947,0.832,2.66586301369863
57120005,1996,3.833,111,1,0.979,0.916,0.833,2.6648647260274
57127241,1996,3,107,1,0.955,0.906,0.974,2.66629109589041
57129567,1996,1,103,1,0.911,0.935,0.926,2.66971575342466
57131909,1996,1.375,104,1,0.795,0.938,0.838,2.66907363013699
57133772,1996,3.75,111,1,0.924,0.913,0.782,2.66500684931507
57139880,1996,3.143,119,1,0.904,0.903,0.878,2.66604623287671
57141800,1996,2.833,100,1,0.713,0.924,0.859,2.66657705479452
57141919,1996,1,73,0,0.672,0.865,0.809,2.66971575342466
57146734,1996,3,110,1,0.971,0.917,0.866,2.66629109589041
57166463,1996,1.929,90,1,0.706,0.925,0.937,2.668125
57178110,1996,3.125,104,1,0.785,0.958,0.822,2.66607705479452
57230940,1996,2.5,103,1,0.9,0.889,0.865,2.66714726027397
57253279,1996,1.786,73,1,0.701,0.956,0.837,2.6683698630137
57262270,1996,0,95,0,0.853,0.923,0.707,2.67142808219178
57263479,1996,2.636,81,1,0.99,0.964,0.971,2.66691438356164
57279640,1996,2.235,86,1,0.685,0.978,0.93,2.66760102739726
57279680,1996,1.667,71,0,0.979,0.921,0.697,2.66857363013699
88122937,1996,4,114,1,0.798,0.919,0.862,2.66457876712329
90316656,1996,3.625,87,1,0.922,0.942,0.885,2.66522089041096
90506849,1996,2.5,87,1,0.916,0.925,0.878,2.66714726027397
90571004,1996,1.143,90,1,0.737,0.847,0.901,2.66947089041096
90571210,1996,3.143,104,0,0.904,0.931,0.835,2.66604623287671
90571401,1996,2.857,107,1,0.552,0.921,0.854,2.66653595890411
90571807,1996,1.571,89,1,0.622,0.911,0.818,2.66873801369863
90571914,1996,1.5,89,0,0.843,0.913,0.76,2.66885958904109
90572268,1996,3.286,103,1,0.797,0.943,0.986,2.66580136986301
90572469,1996,3.714,104,1,0.593,0.944,0.954,2.66506849315068
90573940,1996,3.167,118,1,0.905,0.955,0.927,2.6660051369863
90573956,1996,2.857,104,1,0.781,0.918,0.822,2.66653595890411
90575167,1996,2.857,85,1,0.588,0.934,0.975,2.66653595890411
90575207,1996,2.125,110,1,0.721,0.912,0.952,2.66778938356164
90576148,1996,3.643,112,1,0.935,0.961,0.932,2.66519006849315
90577928,1996,2.875,114,1,0.689,0.848,0.673,2.6665051369863
90579985,1996,3.214,119,1,0.911,0.888,0.701,2.66592465753425
90619464,1996,2.667,111,1,0.667,0.942,0.853,2.66686130136986
90710085,1996,2.143,106,1,0.986,0.934,0.689,2.66775856164383
90710297,1996,2.083,98,1,0.918,0.895,0.757,2.66786130136986
90710930,1996,2.286,77,1,0.758,0.925,0.84,2.66751369863014
90711360,1996,1.222,91,1,0.946,0.911,0.869,2.66933561643836
90712216,1996,4,100,1,0.766,0.877,0.91,2.66457876712329
90712942,1996,3.222,94,1,0.855,0.91,0.856,2.66591095890411
90713702,1996,2.063,100,1,0.317,0.923,0.852,2.6678955479452
90713909,1996,2.313,81,0,0.805,0.96,0.917,2.66746746575342
90713998,1996,3,83,1,0.787,0.91,0.861,2.66629109589041
90714025,1996,2.133,91,1,0.894,0.961,0.721,2.66777568493151
90714238,1996,2.778,77,1,0.634,0.887,0.698,2.66667123287671
90714245,1996,2.571,89,1,0.992,0.963,0.877,2.66702568493151
90714328,1996,2.857,107,1,0.674,0.884,0.818,2.66653595890411
90714390,1996,1.917,110,1,0.847,0.803,0.916,2.6681455479452
90714942,1996,0.2,89,1,0.971,0.925,0.815,2.67108561643835
90715191,1996,2.167,91,1,0.672,0.927,0.838,2.66771746575342
90715294,1996,2.286,90,1,0.954,0.928,0.896,2.66751369863014
90715983,1996,2.429,91,1,0.641,0.917,0.958,2.66726883561644
90715987,1996,3.385,96,0,0.781,0.934,0.823,2.66563184931507
90716064,1996,1.2,90,0,0.677,0.803,0.853,2.66937328767123
90716258,1996,2.231,93,1,0.984,0.92,0.811,2.66760787671233
90716952,1996,2.538,93,1,0.833,0.899,0.842,2.66708219178082
90716975,1996,3.933,118,1,0.673,0.956,0.866,2.66469349315068
90716976,1996,2.8,103,1,0.673,0.956,0.866,2.66663356164383
90716979,1996,4,107,1,0.673,0.956,0.866,2.66457876712329
90718081,1996,1.688,82,1,0.818,0.855,0.957,2.66853767123288
90718089,1996,1.571,103,1,0.886,0.936,0.806,2.66873801369863
90718113,1996,3.625,107,1,0.81,0.923,0.887,2.66522089041096
90718178,1996,3.286,110,1,0.743,0.857,0.91,2.66580136986301
90718207,1996,2.625,83,1,0.591,0.954,0.809,2.66693321917808
90718273,1996,3.667,112,1,0.743,0.857,0.91,2.66514897260274
90718311,1996,1.5,91,1,0.783,0.912,0.718,2.66885958904109
90718981,1996,2.643,73,1,0.824,0.893,0.739,2.66690239726027
90719939,1996,3,91,1,0.866,0.932,0.948,2.66629109589041
91374970,1996,3.5,118,1,0.817,0.919,0.883,2.66543493150685
91374975,1996,2,107,1,0.817,0.919,0.883,2.66800342465753
91570129,1996,1.625,89,1,0.545,0.927,0.86,2.6686455479452
91570523,1996,1.4,91,1,0.823,0.908,0.727,2.66903082191781
91570621,1996,4,111,1,0.51,0.923,0.79,2.66457876712329
91571014,1996,2.875,87,1,0.843,0.913,0.76,2.6665051369863
91571812,1996,3.222,91,1,0.904,0.931,0.835,2.66591095890411
91572183,1996,2.167,89,1,0.744,0.94,0.936,2.66771746575342
91572385,1996,3.313,85,1,0.83,0.917,0.84,2.6657551369863
91573310,1996,0.143,104,0,0.935,0.931,0.856,2.67118321917808
91577922,1996,3.25,110,1,0.76,0.84,0.725,2.66586301369863
91579987,1996,3.714,106,1,0.86,0.948,0.753,2.66506849315068
91619268,1996,0,95,0,0.723,0.962,0.938,2.67142808219178
91710018,1996,2.5,77,1,0.804,0.96,0.831,2.66714726027397
91710293,1996,2.833,104,1,0.63,0.837,0.813,2.66657705479452
91710655,1996,1.818,100,1,0.915,0.946,0.786,2.66831506849315
91710973,1996,3.278,83,1,0.933,0.88,0.822,2.66581506849315
91711167,1996,3.231,103,1,0.902,0.962,0.926,2.6658955479452
91711371,1996,1.875,104,1,0.776,0.961,0.84,2.66821746575342
91711476,1996,1,90,1,0.645,0.887,0.824,2.66971575342466
91712211,1996,1.583,100,1,0.865,0.948,0.769,2.66871746575342
91712274,1996,4,89,1,0.471,0.962,0.955,2.66457876712329
91712314,1996,2.667,111,1,0.842,0.929,0.816,2.66686130136986
91712372,1996,4,79,1,0.6,0.945,0.97,2.66457876712329
91712375,1996,2.1,82,1,0.82,0.858,0.772,2.66783219178082
91712901,1996,3.556,99,1,0.591,0.874,0.864,2.66533904109589
91712908,1996,1.824,99,1,0.591,0.874,0.864,2.66830479452055
91712909,1996,1.412,96,1,0.591,0.874,0.864,2.6690102739726
91713190,1996,2.75,96,1,0.655,0.91,0.819,2.66671917808219
91713997,1996,1.75,104,1,0.508,0.934,0.749,2.66843150684931
91714043,1996,2.5,114,1,0.973,0.938,0.792,2.66714726027397
91714046,1996,2.769,95,1,0.87,0.92,0.788,2.66668664383562
91714128,1996,3.214,93,1,0.674,0.884,0.818,2.66592465753425
91714144,1996,2.857,95,1,0.984,0.894,0.949,2.66653595890411
91715124,1996,1.857,83,1,0.663,0.928,0.893,2.66824828767123
91715280,1996,1.643,94,0,0.328,0.844,0.791,2.6686147260274
91715892,1996,3.632,116,1,0.952,0.964,0.671,2.66520890410959
91715921,1996,1.333,110,0,0.663,0.928,0.893,2.6691455479452
91715983,1996,1.5,99,1,0.641,0.917,0.958,2.66885958904109
91715984,1996,2.143,100,1,0.939,0.949,0.88,2.66775856164383
91715991,1996,3.857,115,1,0.904,0.941,0.819,2.66482363013699
91716018,1996,4,106,1,0.922,0.946,0.816,2.66457876712329
91716082,1996,2.083,122,1,0.867,0.926,0.811,2.66786130136986
91716158,1996,3.917,119,1,0.984,0.92,0.811,2.66472089041096
91716275,1996,3.6,112,1,0.673,0.956,0.866,2.66526369863014
91716288,1996,2.417,122,1,0.983,0.952,0.911,2.66728938356164
91716902,1996,3.5,86,1,0.973,0.94,0.822,2.66543493150685
91716908,1996,2,108,1,0.982,0.932,0.801,2.66800342465753
91716924,1996,2.333,90,1,0.831,0.83,0.823,2.66743321917808
91717055,1996,2.133,83,1,0.938,0.94,0.801,2.66777568493151
91717916,1996,4,110,1,0.811,0.937,0.876,2.66457876712329
91718004,1996,2.25,116,1,0.991,0.92,0.763,2.66757534246575
91718077,1996,3.333,103,1,0.963,0.939,0.783,2.66572089041096
91718081,1996,2.429,78,1,0.783,0.935,0.896,2.66726883561644
91718085,1996,0.429,94,1,0.813,0.752,0.762,2.67069349315068
91718109,1996,2.125,75,1,0.708,0.924,0.926,2.66778938356164
91718195,1996,1.625,73,1,0.555,0.932,0.832,2.6686455479452
91718320,1996,2.5,93,1,0.86,0.908,0.91,2.66714726027397
91718379,1996,3,107,1,0.827,0.846,0.739,2.66629109589041
91718886,1996,1.143,94,1,0.697,0.706,0.728,2.66947089041096
91718949,1996,3.125,102,1,0.961,0.909,0.873,2.66607705479452
91719273,1996,2.9,85,1,0.346,0.923,0.858,2.66646232876712
91719930,1996,2.889,107,1,0.697,0.937,0.885,2.66648116438356
91719932,1996,3.846,96,1,0.936,0.954,0.891,2.66484246575342
91719934,1996,3.25,100,1,0.765,0.94,0.801,2.66586301369863
92374975,1996,4,116,1,0.817,0.919,0.883,2.66457876712329
92374979,1996,2.5,108,1,0.694,0.927,0.905,2.66714726027397
92572864,1996,3.714,104,1,0.859,0.936,0.914,2.66506849315068
92572983,1996,2.118,85,1,0.744,0.94,0.936,2.66780136986301
92573943,1996,3.143,90,1,0.83,0.938,0.872,2.66604623287671
92573945,1996,1.429,108,1,0.905,0.955,0.927,2.66898116438356
92575249,1996,3.563,111,1,0.796,0.946,0.921,2.66532705479452
92576248,1996,3.417,104,1,0.955,0.928,0.988,2.66557705479452
92579261,1996,1.364,104,1,0.985,0.857,0.769,2.66909246575342
92579963,1996,3.143,108,1,0.741,0.953,0.902,2.66604623287671
92579968,1996,1,100,0,0.564,0.922,0.817,2.66971575342466
92619368,1996,2.9,115,1,0.723,0.962,0.938,2.66646232876712
92710091,1996,2.75,82,1,0.788,0.823,0.804,2.66671917808219
92710199,1996,1,86,1,0.606,0.931,0.827,2.66971575342466
92710398,1996,2.417,108,1,0.924,0.913,0.782,2.66728938356164
92710999,1996,2.333,94,1,0.646,0.852,0.95,2.66743321917808
92711067,1996,3.308,120,1,0.888,0.949,0.991,2.66576369863014
92712044,1996,3.125,103,1,0.875,0.921,0.829,2.66607705479452
92712148,1996,1.889,94,1,0.94,0.897,0.944,2.66819349315068
92712242,1996,3.556,107,1,0.972,0.885,0.769,2.66533904109589
92712391,1996,3.214,99,1,0.921,0.938,0.836,2.66592465753425
