aid,year,gpa,pvt,grad,fam_mig,fam_inc,fam_edu
90570190,1994,2.5,79,1,0.89,0.918,0.836
90570222,1992,1.778,110,1,0.721,0.909,0.743
90570280,1991,2.143,115,1,0.992,0.917,0.759
90570412,1992,3.833,115,1,0.839,0.916,0.832
90570582,1991,3.429,116,1,0.969,0.892,0.802
90570626,1991,3.556,100,1,0.721,0.909,0.743
90570655,1992,2.417,89,1,0.8,0.927,0.822
90570720,1994,3.25,114,1,0.779,0.921,0.868
90570725,1991,2.941,110,1,0.749,0.917,0.857
90570778,1993,1.818,87,1,0.971,0.927,0.881
90570892,1991,3,116,1,0.946,0.971,0.879
90571004,1996,1.143,90,1,0.737,0.847,0.901
90571069,1994,1.667,108,1,0.856,0.902,0.853
90571074,1992,0.636,73,0,0.776,0.961,0.84
90571103,1995,1.857,90,1,0.886,0.934,0.937
90571171,1993,0.154,77,0,0.87,0.976,0.919
90571210,1996,3.143,104,0,0.904,0.931,0.835
90571211,1994,2.25,103,1,0.875,0.858,0.903
90571217,1995,2.625,100,1,0.875,0.858,0.903
90571276,1991,1.091,86,1,0.806,0.944,0.885
90571315,1994,2.222,104,1,0.688,0.934,0.9
90571319,1992,3.143,104,1,0.875,0.858,0.903
90571401,1996,2.857,107,1,0.552,0.921,0.854
90571402,1991,2,96,1,0.552,0.921,0.854
90571418,1992,3.625,119,1,0.875,0.858,0.903
90571461,1992,3,118,1,0.856,0.902,0.853
90571805,1995,2.429,95,1,0.704,0.913,0.87
90571807,1996,1.571,89,1,0.622,0.911,0.818
90571816,1995,3,106,1,0.904,0.931,0.835
90571861,1991,3,114,1,0.856,0.902,0.853
90571913,1991,3.25,107,1,0.91,0.965,0.932
90571914,1996,1.5,89,0,0.843,0.913,0.76
90572007,1994,3.421,107,1,0.814,0.829,0.84
90572049,1994,2.933,106,1,0.888,0.876,0.851
90572147,1993,0.6,107,1,0.917,0.884,0.843
90572169,1995,2.923,103,1,0.757,0.936,0.817
90572198,1992,2.357,90,1,0.921,0.938,0.836
90572213,1993,3.583,85,1,0.865,0.948,0.769
90572265,1993,3.286,108,1,0.859,0.936,0.914
90572268,1996,3.286,103,1,0.797,0.943,0.986
90572269,1994,3.071,118,1,0.593,0.944,0.954
90572280,1994,2.429,78,0,0.699,0.949,0.921
90572282,1992,3.188,99,1,0.462,0.922,0.822
