aid,year,gpa,pvt,grad,fam_mig,fam_inc,fam_edu
91572222,1995,2.167,96,1,0.855,0.912,0.789
91572292,1992,3.364,118,1,0.921,0.938,0.836
91572321,1993,2.071,90,0,0.589,0.887,0.836
91572328,1994,3.714,87,1,0.862,0.915,0.831
91572346,1993,2.167,102,1,0.855,0.91,0.856
91572369,1992,2.786,106,1,0.787,0.931,0.824
91572373,1991,2.083,102,1,0.786,0.945,0.864
91572381,1994,3.143,106,1,0.462,0.922,0.822
91572385,1996,3.313,85,1,0.83,0.917,0.84
91572387,1995,3,103,1,0.462,0.922,0.822
91572389,1991,3.733,111,1,0.744,0.94,0.936
91572396,1994,3.357,103,1,0.852,0.937,0.836
91572408,1992,0.867,104,1,0.814,0.829,0.84
91572841,1991,1.8,103,1,0.906,0.927,0.886
91572900,1993,2.857,115,1,0.69,0.879,0.79
91572918,1993,3,90,1,0.814,0.934,0.775
91572964,1993,3.214,116,1,0.695,0.93,0.866
91572980,1993,1.313,90,1,0.919,0.952,0.919
91572981,1992,0.875,104,1,0.744,0.94,0.936
91572986,1991,4,83,0,0.744,0.94,0.936
91572989,1993,2.5,108,1,0.569,0.958,0.839
91572999,1992,3.5,120,1,0.921,0.938,0.836
91573016,1994,2.375,91,1,0.856,0.927,0.901
91573234,1991,3.714,118,1,0.784,0.874,0.974
91573253,1992,2.333,115,1,0.941,0.952,0.859
91573254,1994,3.077,114,1,0.829,0.95,0.789
91573258,1994,2.214,78,1,0.924,0.936,0.867
91573259,1992,2.643,112,1,0.962,0.917,0.847
91573291,1993,2.733,102,1,0.751,0.943,0.69
91573310,1996,0.143,104,0,0.935,0.931,0.856
91573334,1991,2.357,106,1,0.999,0.976,0.978
91573395,1993,0.875,99,1,0.821,0.909,0.766
91573417,1995,2,108,1,0.767,0.934,0.845
91573419,1992,1.667,120,1,0.732,0.912,0.905
91573708,1993,3.2,79,1,0.711,0.896,0.942
91573811,1995,1.75,100,1,0.703,0.92,0.843
91573955,1993,3.316,111,1,0.89,0.915,0.964
91573956,1992,2.455,95,1,0.892,0.938,0.908
91573958,1992,4,120,1,0.89,0.915,0.964
91574121,1993,0.8,100,0,0.894,0.961,0.721
91574143,1991,3.8,116,1,0.96,0.925,0.845
91574231,1991,2.429,106,1,0.898,0.941,0.976
91574308,1992,3.167,119,1,0.621,0.926,0.917
91574337,1994,1.556,83,1,0.818,0.933,0.887
91574399,1992,3.167,90,1,0.866,0.905,0.763
91574504,1995,3.571,116,1,0.911,0.858,0.996
91574594,1994,0,96,0,0.856,0.696,0.816
91574632,1991,3.75,112,1,0.933,0.935,0.757
91574688,1993,3.667,108,1,0.738,0.924,0.763
91574694,1993,1.714,77,1,0.83,0.924,0.845
91574696,1993,1.583,103,0,0.718,0.922,0.819
91574816,1992,2.929,81,1,0.865,0.942,0.893
91574916,1992,0.643,77,0,0.757,0.916,0.854
91574923,1991,3.571,119,1,0.737,0.858,0.806
91575065,1994,3.6,107,1,0.529,0.897,0.932
91575076,1993,1.667,104,1,0.564,0.931,0.991
91575077,1994,3.133,119,1,0.564,0.931,0.991
91575094,1994,1.571,90,1,0.782,0.938,0.908
91575151,1993,1.786,110,1,0.413,0.887,0.811
91575162,1991,2.333,108,1,0.728,0.98,0.964
91575180,1994,0.286,104,0,0.641,0.917,0.958
91575191,1991,3.833,119,1,0.847,0.921,0.869
91575194,1991,3.333,110,1,0.851,0.882,0.957
91575216,1991,2.875,116,1,0.645,0.873,0.856
91575227,1993,2.444,64,1,0.629,0.947,0.882
91575235,1993,3.1,115,1,0.845,0.888,0.848
91575240,1995,3.5,107,1,0.961,0.767,0.797
91575246,1993,3.071,112,1,0.837,0.848,0.825
91575249,1991,2.929,106,1,0.507,0.904,0.845
91575280,1991,2.556,90,1,0.834,0.918,0.89
91575296,1993,2.375,112,1,0.93,0.841,0.92
91575315,1992,2,107,1,0.708,0.898,0.922
91575317,1993,2.75,118,1,0.788,0.915,0.896
91575358,1993,2.857,107,1,0.676,0.908,0.727
91575387,1993,2.692,91,1,0.994,0.982,0.819
91575391,1991,2.25,110,0,0.767,0.901,0.899
91575394,1992,3.5,119,1,0.767,0.901,0.899
91575477,1993,2.067,112,1,0.564,0.931,0.991
91575522,1994,3.538,114,1,0.818,0.957,0.889
91575602,1994,3.25,75,1,0.721,0.912,0.952
91575626,1993,2.933,85,1,0.663,0.928,0.893
91575627,1993,1.167,102,1,0.685,0.901,0.759
91575628,1991,1.667,104,1,0.605,0.939,0.835
91575726,1993,1.357,96,1,0.64,0.947,0.863
91575911,1993,2.5,106,1,0.788,0.915,0.896
91575930,1991,2.1,90,1,0.955,0.961,0.913
91575931,1992,3,120,1,0.827,0.946,0.858
91575943,1995,2.615,85,1,0.87,0.833,0.786
91575948,1992,3.75,114,1,0.828,0.955,0.914
91575949,1995,1.737,110,1,0.768,0.929,0.835
91575956,1994,2.643,100,1,0.766,0.955,0.935
91575966,1993,1.833,115,1,0.723,0.921,0.895
91575992,1991,3.417,106,1,0.81,0.876,0.908
91576088,1991,3.75,122,1,0.891,0.922,0.894
91576129,1993,2.933,69,1,0.889,0.913,0.725
91576138,1994,3,91,1,0.98,0.93,0.9
91576154,1993,3.375,103,1,0.865,0.937,0.834
91576163,1992,3.5,116,1,0.919,0.928,0.811
91576240,1995,3,98,1,0.858,0.914,0.877
91576270,1994,2.5,103,1,0.974,0.912,0.74
91576363,1991,3.5,75,1,0.946,0.943,0.898
91576537,1993,1.741,114,1,0.98,0.93,0.9
91576556,1992,2.643,115,1,0.631,0.897,0.879
91576561,1992,1.846,104,1,0.878,0.918,0.782
91576576,1994,1.167,107,1,0.673,0.956,0.866
91576611,1992,1.857,98,1,0.929,0.87,0.875
91576651,1993,3.5,83,0,0.984,0.947,0.89
91576674,1991,3.333,103,1,0.987,0.922,0.815
91576748,1991,1.643,107,1,0.985,0.949,0.892
91576910,1992,3.214,104,1,0.963,0.943,0.805
91576919,1991,2.4,118,1,0.838,0.837,0.748
91576934,1994,1.571,90,1,0.998,0.958,0.889
91577183,1992,2.667,102,1,0.815,0.959,0.902
91577221,1991,3,120,1,0.972,0.963,0.722
91577256,1991,3,111,1,0.935,0.93,0.832
91577268,1993,3.75,110,1,0.785,0.955,0.83
91577311,1994,3.929,114,1,0.723,0.915,0.764
91577313,1992,4,77,1,0.78,0.919,0.958
91577319,1994,1.2,106,1,0.811,0.937,0.876
91577414,1991,3.083,103,1,0.903,0.927,0.925
91577557,1992,1.333,83,1,0.998,0.857,0.897
91577613,1994,3.786,107,1,0.836,0.969,0.893
91577786,1994,0.625,78,1,0.787,0.985,0.843
91577922,1996,3.25,110,1,0.76,0.84,0.725
91577923,1992,3.071,104,1,0.755,0.9,0.777
91578027,1993,3.5,99,1,0.627,0.965,0.807
91578060,1992,2.833,102,1,0.972,0.951,0.833
91578074,1991,1.5,108,1,0.904,0.943,0.856
91578089,1993,1.875,75,1,0.618,0.928,0.655
91578116,1992,2.429,90,1,0.901,0.843,0.756
91578193,1991,2.167,104,1,0.877,0.957,0.834
91578197,1994,4,99,1,0.877,0.957,0.834
91578268,1992,4,107,1,0.806,0.894,0.85
91578297,1991,2.583,87,1,0.702,0.956,0.788
91578314,1992,3.167,93,1,0.901,0.843,0.756
91578315,1992,1.933,106,1,0.901,0.843,0.756
91578342,1992,2,103,1,0.899,0.882,0.79
91578491,1991,2.25,115,1,0.59,0.823,0.645
91578495,1991,2.5,103,1,0.555,0.932,0.832
91578510,1994,2.25,90,1,0.982,0.91,0.894
91578526,1991,2.786,115,1,0.836,0.872,0.925
91578740,1993,2.375,90,1,0.966,0.927,0.833
91578747,1992,1.25,87,1,0.903,0.948,0.868
91578892,1993,2.75,93,1,0.743,0.919,0.69
91578917,1991,3.5,112,1,0.982,0.91,0.894
91578999,1991,2.167,108,1,0.877,0.957,0.834
91579175,1992,2.1,104,1,0.836,0.948,0.83
91579235,1991,3.625,116,1,0.636,0.952,0.904
91579243,1994,1.417,112,1,0.639,0.937,0.874
91579272,1991,2.75,90,1,0.836,0.948,0.83
91579296,1991,2.813,85,1,0.795,0.938,0.838
91579339,1993,2.375,106,1,0.804,0.915,0.947
91579939,1993,2.625,110,1,0.936,0.954,0.891
91579962,1994,2.083,107,1,0.662,0.978,0.958
91579968,1992,2.692,118,1,0.718,0.943,0.932
91579987,1996,3.714,106,1,0.86,0.948,0.753
91579992,1993,2.833,74,1,0.785,0.958,0.822
91579995,1994,3.6,107,1,0.795,0.938,0.838
91608475,1991,2.833,108,1,0.986,0.929,0.862
91608476,1992,3.167,108,1,0.727,0.846,0.882
91614578,1991,3.286,119,1,0.616,0.862,0.781
91614772,1991,3.25,93,1,0.692,0.962,0.887
91614874,1992,2.111,119,1,0.837,0.935,0.895
91614974,1992,2.429,79,1,0.848,0.914,0.811
91614978,1993,2.5,116,1,0.692,0.962,0.887
91619064,1995,3,120,1,0.816,0.98,0.881
91619268,1996,0,95,0,0.723,0.962,0.938
91619467,1993,3.8,120,1,0.875,0.87,0.801
91619862,1995,0.875,119,1,0.905,0.955,0.977
91646122,1991,1.5,85,1,0.743,0.949,0.891
91676253,1991,3.333,100,1,0.767,0.827,0.73
91676357,1992,3.875,103,1,0.641,0.83,0.728
91676456,1993,2.571,90,1,0.966,0.93,0.933
91676522,1993,0,103,1,0.688,0.848,0.764
91676656,1992,3.167,114,1,0.885,0.916,0.803
91676958,1994,2.667,79,1,0.859,0.832,0.887
91678173,1992,3.143,107,1,0.794,0.855,0.782
91678373,1994,1.143,114,1,0.926,0.935,0.871
91678572,1993,2.636,116,1,0.727,0.846,0.882
91678674,1993,2.5,116,1,0.804,0.883,0.877
91710018,1996,2.5,77,1,0.804,0.96,0.831
91710037,1995,2.154,104,1,0.906,0.966,0.962
91710214,1995,2.417,104,0,0.852,0.939,0.851
91710252,1995,0.385,70,1,0.907,0.9,0.792
91710287,1995,1,91,1,0.986,0.934,0.689
91710293,1996,2.833,104,1,0.63,0.837,0.813
91710339,1995,2,86,1,0.925,0.906,0.774
91710652,1995,3.333,108,1,0.787,0.944,0.89
91710655,1996,1.818,100,1,0.915,0.946,0.786
91710973,1996,3.278,83,1,0.933,0.88,0.822
91710996,1995,3.5,107,1,0.918,0.895,0.757
91711065,1995,1.7,102,1,0.856,0.902,0.853
91711167,1996,3.231,103,1,0.902,0.962,0.926
91711371,1996,1.875,104,1,0.776,0.961,0.84
91711476,1996,1,90,1,0.645,0.887,0.824
91712211,1996,1.583,100,1,0.865,0.948,0.769
91712217,1995,2.667,90,1,0.777,0.958,0.79
91712274,1996,4,89,1,0.471,0.962,0.955
91712314,1996,2.667,111,1,0.842,0.929,0.816
91712372,1996,4,79,1,0.6,0.945,0.97
91712375,1996,2.1,82,1,0.82,0.858,0.772
91712842,1995,3.5,102,1,0.888,0.876,0.851
91712901,1996,3.556,99,1,0.591,0.874,0.864
91712902,1995,3.188,102,1,0.758,0.959,0.787
91712905,1995,1.789,91,1,0.591,0.874,0.864
91712908,1996,1.824,99,1,0.591,0.874,0.864
91712909,1996,1.412,96,1,0.591,0.874,0.864
91712918,1995,2.667,75,1,0.814,0.934,0.775
91713006,1995,2.2,91,1,0.834,0.921,0.818
91713106,1995,3.083,90,1,0.709,0.906,0.85
91713190,1996,2.75,96,1,0.655,0.91,0.819
91713192,1995,2.571,90,1,0.83,0.959,0.909
91713298,1995,2.286,104,1,0.799,0.919,0.861
91713997,1996,1.75,104,1,0.508,0.934,0.749
91714043,1996,2.5,114,1,0.973,0.938,0.792
91714046,1996,2.769,95,1,0.87,0.92,0.788
91714099,1995,1.545,104,1,0.837,0.93,0.735
91714128,1996,3.214,93,1,0.674,0.884,0.818
91714144,1996,2.857,95,1,0.984,0.894,0.949
91714212,1995,1.308,79,0,0.602,0.937,0.886
91714326,1995,3.214,100,1,0.894,0.891,0.785
91714338,1995,3.25,104,1,0.755,0.889,0.807
91714928,1995,0.938,90,0,0.791,0.888,0.789
91714938,1995,0.786,71,0,0.866,0.897,0.89
91714987,1995,2.333,103,1,0.801,0.926,0.864
91715124,1996,1.857,83,1,0.663,0.928,0.893
91715280,1996,1.643,94,0,0.328,0.844,0.791
91715286,1995,3.133,93,1,0.781,0.934,0.823
91715892,1996,3.632,116,1,0.952,0.964,0.671
91715921,1996,1.333,110,0,0.663,0.928,0.893
91715927,1995,2.455,86,1,0.605,0.939,0.835
91715930,1995,1.5,93,1,0.953,0.928,0.869
91715952,1995,3.375,99,1,0.504,0.944,0.785
91715983,1996,1.5,99,1,0.641,0.917,0.958
91715984,1996,2.143,100,1,0.939,0.949,0.88
91715991,1996,3.857,115,1,0.904,0.941,0.819
91716018,1996,4,106,1,0.922,0.946,0.816
91716080,1995,1.417,104,1,0.867,0.926,0.811
91716082,1996,2.083,122,1,0.867,0.926,0.811
91716096,1995,3.714,99,1,0.681,0.941,0.95
91716158,1996,3.917,119,1,0.984,0.92,0.811
91716275,1996,3.6,112,1,0.673,0.956,0.866
91716281,1995,3.917,96,1,0.768,0.913,0.793
91716288,1996,2.417,122,1,0.983,0.952,0.911
91716321,1995,2.75,108,1,0.961,0.919,0.725
91716484,1995,2.5,103,1,0.867,0.926,0.811
91716890,1995,2,75,1,0.578,0.915,0.866
91716902,1996,3.5,86,1,0.973,0.94,0.822
91716908,1996,2,108,1,0.982,0.932,0.801
91716924,1996,2.333,90,1,0.831,0.83,0.823
91716957,1995,1.333,102,1,0.708,0.886,0.835
91717055,1996,2.133,83,1,0.938,0.94,0.801
91717067,1995,1.929,104,0,0.785,0.955,0.83
91717169,1995,3,93,1,0.788,0.946,0.834
91717862,1994,2,83,1,0.949,0.93,0.91
91717865,1994,2,100,1,0.657,0.947,0.832
91717910,1995,3.714,118,1,0.699,0.971,0.878
91717916,1996,4,110,1,0.811,0.937,0.876
91717918,1995,3.5,111,1,0.699,0.971,0.878
91718004,1996,2.25,116,1,0.991,0.92,0.763
91718073,1995,2.083,89,1,0.951,0.936,0.848
91718077,1996,3.333,103,1,0.963,0.939,0.783
91718081,1996,2.429,78,1,0.783,0.935,0.896
91718085,1996,0.429,94,1,0.813,0.752,0.762
91718109,1996,2.125,75,1,0.708,0.924,0.926
91718142,1995,3.75,120,1,0.77,0.937,0.81
91718174,1995,2.583,89,1,0.898,0.897,0.768
91718195,1996,1.625,73,1,0.555,0.932,0.832
91718287,1995,1.857,83,1,0.862,0.935,0.928
91718320,1996,2.5,93,1,0.86,0.908,0.91
91718379,1996,3,107,1,0.827,0.846,0.739
91718844,1995,3.444,122,1,0.89,0.945,0.903
91718886,1996,1.143,94,1,0.697,0.706,0.728
91718949,1996,3.125,102,1,0.961,0.909,0.873
91719273,1996,2.9,85,1,0.346,0.923,0.858
91719375,1994,0.8,90,0,0.836,0.948,0.83
91719930,1996,2.889,107,1,0.697,0.937,0.885
91719932,1996,3.846,96,1,0.936,0.954,0.891
91719934,1996,3.25,100,1,0.765,0.94,0.801
91719936,1995,2.125,103,1,0.759,0.942,0.827
92316359,1995,3.462,73,1,0.897,0.943,0.921
92316856,1995,2.25,106,1,0.975,0.913,0.87
92374975,1996,4,116,1,0.817,0.919,0.883
92374978,1995,1.714,116,1,0.817,0.919,0.883
92374979,1996,2.5,108,1,0.694,0.927,0.905
92500081,1992,1.143,110,1,0.992,0.917,0.759
92500184,1992,2.429,75,1,0.944,0.876,0.81
92500219,1992,1.813,110,0,0.849,0.901,0.879
92500386,1992,3.714,100,1,0.986,0.934,0.689
92500618,1992,3.167,104,1,0.868,0.927,0.429
92500914,1993,2.417,103,1,0.86,0.96,0.906
92501253,1992,4,112,1,0.77,0.953,0.827
92503208,1992,2.636,87,1,0.906,0.897,0.736
92504085,1992,3.25,111,1,0.813,0.927,0.86
92504100,1995,3.3,120,1,0.99,0.975,0.953
92504229,1994,3.933,106,1,0.674,0.884,0.818
92504284,1994,2.417,104,1,0.991,0.922,0.795
92504321,1991,2.615,110,1,0.671,0.789,0.799
92504421,1992,3.786,110,1,0.855,0.847,0.773
92504722,1992,3.071,119,1,0.793,0.924,0.809
92504827,1992,3.429,111,1,0.888,0.923,0.849
92506022,1993,2.727,71,1,0.736,0.907,0.883
92506287,1991,1.333,122,0,0.867,0.926,0.811
92506687,1992,2.333,122,1,0.907,0.927,0.806
92506844,1995,2.417,91,1,0.916,0.925,0.878
92506993,1991,3.167,100,1,0.946,0.913,0.84
92507952,1994,2.727,106,1,0.996,0.871,0.857
92508625,1992,2.417,108,1,0.926,0.926,0.909
92508726,1992,3.417,112,1,0.913,0.885,0.908
92540117,1991,2.5,110,1,0.915,0.87,0.817
92540351,1991,1.714,107,1,0.846,0.98,0.977
92540559,1992,1.636,96,0,0.915,0.946,0.786
92540654,1993,1.923,100,0,0.842,0.937,0.994
92543208,1992,1.833,89,1,0.807,0.929,0.812
92544906,1992,3.714,94,1,0.584,0.93,0.953
92546073,1992,1.417,104,1,0.993,0.89,0.799
92546995,1993,2.167,82,1,0.982,0.911,0.829
92570084,1992,3.143,85,1,0.969,0.892,0.802
92570188,1992,1.429,91,0,0.986,0.927,0.736
92570236,1992,2.333,118,1,0.757,0.825,0.896
92570284,1994,2.571,69,1,0.992,0.917,0.759
92570411,1991,2.417,102,1,0.995,0.93,0.953
92570629,1995,2.75,102,1,0.843,0.893,0.793
92570676,1994,2.214,104,1,0.88,0.888,0.924
92570678,1991,3.583,115,1,0.895,0.952,0.832
92570698,1991,3.273,90,1,0.53,0.904,0.834
92571001,1991,2.571,90,1,0.704,0.913,0.87
92571017,1993,3.182,120,1,0.91,0.965,0.932
92571019,1992,2.625,110,1,0.688,0.934,0.9
92571052,1992,1.833,110,1,0.863,0.936,0.808
92571208,1994,2.857,116,1,0.911,0.909,0.919
92571270,1994,0.5,90,0,0.687,0.894,0.776
92571271,1993,1,103,0,0.776,0.961,0.84
92571311,1992,3.857,116,1,0.875,0.858,0.903
92571476,1994,1.167,87,1,0.774,0.942,0.881
92571664,1993,4,120,1,0.753,0.873,0.936
92571801,1995,2.222,94,1,0.778,0.943,0.864
92572061,1992,2.5,103,0,0.665,0.931,0.921
92572101,1991,3.067,116,1,0.91,0.941,0.848
92572106,1994,4,108,1,0.69,0.879,0.79
92572108,1992,3.786,107,1,0.814,0.829,0.84
92572119,1992,3.692,111,1,0.814,0.934,0.775
92572162,1994,1.923,103,1,0.757,0.936,0.817
92572169,1995,4,102,1,0.625,0.952,0.873
92572203,1993,2.8,106,1,0.809,0.91,0.779
92572209,1993,3,102,1,0.809,0.91,0.779
92572217,1992,2.917,107,1,0.746,0.868,0.801
92572219,1993,0.538,100,0,0.731,0.93,0.825
92572260,1995,4,118,1,0.737,0.924,0.837
92572267,1991,1.857,111,1,0.859,0.936,0.914
92572283,1992,3.6,107,1,0.919,0.952,0.919
92572290,1994,2.071,79,1,0.852,0.937,0.836
92572292,1992,2,93,1,0.994,0.908,0.935
92572298,1991,1.857,91,1,0.852,0.937,0.836
92572300,1993,2.429,87,1,0.814,0.829,0.84
92572314,1993,3.833,106,1,0.853,0.869,0.865
92572317,1993,2.5,93,1,0.865,0.948,0.769
92572323,1994,1,81,0,0.589,0.887,0.836
92572348,1991,3.167,119,1,0.906,0.927,0.886
92572390,1993,2.143,94,1,0.921,0.938,0.836
92572408,1992,2.429,102,1,0.591,0.874,0.864
92572468,1993,3.667,114,1,0.797,0.943,0.986
92572665,1995,2.615,99,1,0.806,0.955,0.939
92572802,1993,4,120,1,0.814,0.829,0.84
92572803,1994,1.063,106,1,0.638,0.924,0.906
92572842,1992,1.846,89,1,0.685,0.91,0.811
92572864,1996,3.714,104,1,0.859,0.936,0.914
92572906,1992,2.588,106,1,0.809,0.91,0.779
92572916,1994,2.462,100,1,0.726,0.951,0.854
92572918,1992,2.083,85,1,0.777,0.958,0.79
92572919,1994,0.833,102,1,0.814,0.934,0.775
92572924,1992,1.857,87,1,0.589,0.887,0.836
92572983,1996,2.118,85,1,0.744,0.94,0.936
92572986,1994,3.882,115,1,0.744,0.94,0.936
92572989,1991,2.267,103,1,0.462,0.922,0.822
92573010,1995,4,116,1,0.732,0.912,0.905
92573096,1993,3.071,118,1,0.83,0.959,0.909
92573118,1991,3,90,0,0.856,0.927,0.901
92573136,1993,2.267,103,1,0.749,0.866,0.631
92573232,1994,2.438,111,1,0.905,0.913,0.779
92573311,1991,2.625,111,1,0.567,0.918,0.879
92573316,1994,3.455,118,1,0.701,0.929,0.909
92573531,1991,1.313,112,1,0.953,0.889,0.618
92573697,1993,1.929,104,1,0.821,0.909,0.766
92573818,1993,2.556,93,1,0.705,0.941,0.919
92573831,1993,3.727,116,1,0.431,0.856,0.679
92573916,1993,2.778,108,1,0.856,0.927,0.901
92573917,1995,2.429,107,1,0.703,0.92,0.843
92573943,1996,3.143,90,1,0.83,0.938,0.872
92573945,1996,1.429,108,1,0.905,0.955,0.927
92573958,1993,3.5,103,1,0.89,0.915,0.964
92573959,1991,1.789,112,1,0.982,0.903,0.795
92574010,1991,2.286,89,1,0.905,0.902,0.819
92574018,1993,0.846,112,1,0.703,0.847,0.656
92574200,1994,2.667,116,1,0.703,0.896,0.959
92574314,1992,2.857,99,1,0.972,0.925,0.861
92574614,1994,1.571,85,1,0.607,0.915,0.896
92574701,1993,2.083,90,1,0.427,0.935,0.948
92574703,1994,2,98,1,0.731,0.916,0.743
92574794,1994,0.545,100,0,0.718,0.868,0.783
92574808,1992,2.167,108,1,0.705,0.914,0.852
92575023,1992,2.231,90,1,0.663,0.928,0.893
92575033,1993,1.75,112,1,0.884,0.893,0.829
92575095,1992,2.417,111,1,0.904,0.903,0.878
92575121,1992,1.857,81,1,0.563,0.921,0.895
92575180,1994,2.462,104,1,0.641,0.917,0.958
92575213,1991,3.25,111,1,0.645,0.873,0.856
92575217,1991,3.5,115,1,0.634,0.908,0.853
92575222,1992,2.692,94,1,0.663,0.928,0.893
92575240,1994,4,119,1,0.85,0.943,0.965
92575244,1994,4,107,1,0.663,0.913,0.822
92575246,1991,3.5,104,1,0.756,0.916,0.854
92575248,1995,2.143,91,1,0.951,0.836,0.753
92575249,1996,3.563,111,1,0.796,0.946,0.921
92575263,1991,3.143,116,1,0.588,0.934,0.975
92575297,1991,3,110,1,0.904,0.903,0.878
92575373,1994,3.533,114,1,0.564,0.931,0.991
92575381,1992,2.167,87,1,0.583,0.857,0.838
92575400,1994,2.667,119,1,0.614,0.901,0.908
92575421,1994,3.688,104,1,0.744,0.944,0.797
92575526,1994,1.333,89,1,0.705,0.865,0.86
92575771,1991,3.467,120,1,0.564,0.931,0.991
92575807,1995,3.25,104,1,0.783,0.918,0.991
92575868,1994,2.667,111,1,0.529,0.897,0.932
92575900,1993,2.875,99,1,0.721,0.912,0.952
92575941,1992,3.75,120,1,0.531,0.882,0.931
92575944,1995,2.786,111,0,0.85,0.943,0.965
92575951,1991,2,82,1,0.676,0.908,0.727
92575959,1993,1.75,82,1,0.676,0.908,0.727
92575971,1994,2.722,119,1,0.564,0.931,0.991
92575974,1991,3.389,119,1,0.564,0.931,0.991
92575990,1992,2,89,1,0.978,0.914,0.698
92575995,1994,3.857,95,1,0.831,0.884,0.866
92575999,1994,2.357,108,1,0.881,0.949,0.904
92576033,1994,3.067,104,1,0.923,0.928,0.926
92576182,1991,2.444,122,1,1,0.874,0.768
92576248,1996,3.417,104,1,0.955,0.928,0.988
92576312,1992,3.333,93,0,0.963,0.943,0.805
92576328,1991,1.857,120,1,0.986,0.922,0.823
92576472,1991,3.25,107,1,0.906,0.874,0.816
92576499,1993,2.417,94,0,0.713,0.924,0.859
92576504,1993,3,118,1,0.914,0.873,0.857
92576516,1993,1.6,83,1,0.711,0.94,0.792
92576531,1993,3.059,111,1,0.845,0.904,0.753
92576533,1994,4,122,1,0.668,0.773,0.699
92576555,1993,2.5,86,1,0.865,0.937,0.834
92576556,1993,2.938,91,1,0.972,0.904,0.843
92576606,1991,3.846,118,1,0.914,0.873,0.857
92576611,1992,3.143,110,1,0.964,0.942,0.769
92576693,1992,2.917,116,1,0.706,0.925,0.937
92576694,1992,3.75,106,1,0.872,0.926,0.93
92576937,1991,3.824,114,1,1,0.936,0.868
92576950,1993,2.5,108,1,0.702,0.932,0.808
92576984,1993,2.583,122,1,0.935,0.902,0.721
92577013,1991,3.917,104,1,0.984,0.922,0.938
92577065,1993,2.833,81,0,0.949,0.93,0.91
92577127,1994,3.375,118,1,0.76,0.856,0.771
92577129,1992,2.857,116,1,0.641,0.965,0.942
92577161,1993,1.4,91,0,0.728,0.942,0.862
92577217,1994,4,104,1,0.78,0.919,0.958
92577326,1991,3.714,119,1,0.939,0.962,0.878
92577368,1993,3.846,104,1,0.83,0.964,0.929
92577514,1994,2.333,106,1,0.924,0.944,0.946
92577917,1993,3.167,103,1,0.836,0.969,0.893
92577918,1992,3.25,104,1,0.836,0.969,0.893
92577920,1995,3.2,116,1,0.954,0.927,0.563
92577929,1994,4,120,1,0.97,0.9,0.778
92578034,1991,2.25,102,0,0.95,0.905,0.86
92578067,1994,3.444,107,1,0.63,0.932,0.849
92578161,1993,2,115,1,0.678,0.905,0.787
92578283,1994,3.786,106,1,0.924,0.915,0.872
92578310,1994,1.625,83,0,0.714,0.933,0.862
92578411,1992,2,108,0,0.855,0.936,0.904
92578428,1993,2.417,91,1,0.74,0.932,0.896
92578517,1991,2.5,75,1,0.847,0.955,0.856
92578562,1994,2,106,1,0.969,0.942,0.808
92578580,1992,1.143,66,0,0.697,0.706,0.728
92578615,1992,1.714,104,1,0.545,0.929,0.776
92578684,1993,2.357,86,1,0.753,0.862,0.797
92578722,1991,1.357,114,1,0.926,0.926,0.909
92578846,1991,3.889,116,1,0.966,0.927,0.833
92578930,1993,2.75,110,1,0.908,0.901,0.862
92578935,1992,2.417,107,1,0.908,0.901,0.862
92578995,1991,2.917,100,1,0.769,0.916,0.683
92579171,1991,1.833,87,1,0.76,0.895,0.808
92579175,1993,2,108,1,0.836,0.948,0.83
92579232,1991,3.25,91,1,0.726,0.942,0.918
92579235,1991,2.167,91,1,0.829,0.954,0.868
92579238,1994,1.75,87,1,0.779,0.944,0.984
92579261,1996,1.364,104,1,0.985,0.857,0.769
92579267,1991,2.417,102,1,0.741,0.953,0.902
92579268,1993,3.5,116,1,0.899,0.952,0.833
92579292,1994,2.889,108,1,0.785,0.958,0.822
92579297,1992,2.071,98,1,0.785,0.958,0.822
92579335,1994,2.625,102,1,0.866,0.932,0.948
92579376,1992,1.5,114,1,0.76,0.895,0.808
92579935,1991,4,90,1,0.748,0.954,0.95
92579937,1993,3.143,87,1,0.749,0.934,0.868
92579949,1991,0.667,106,0,0.979,0.921,0.697
92579960,1995,1.75,106,0,0.741,0.953,0.902
92579962,1991,3.154,94,1,0.559,0.956,0.884
92579963,1996,3.143,108,1,0.741,0.953,0.902
92579965,1994,2.727,104,1,0.559,0.956,0.884
92579968,1996,1,100,0,0.564,0.922,0.817
92579970,1994,0.5,90,1,0.873,0.957,0.855
92579984,1995,2.5,115,1,0.935,0.897,0.862
92579991,1995,4,90,1,0.795,0.938,0.838
92579992,1991,3.214,85,1,0.785,0.958,0.822
92579993,1994,2.7,95,1,0.795,0.938,0.838
92579994,1993,3.25,120,1,0.785,0.958,0.822
92579998,1992,4,107,1,0.795,0.938,0.838
92606325,1992,1.143,89,1,0.85,0.949,0.919
92608078,1993,3,111,1,0.794,0.855,0.782
92608972,1992,3.583,91,1,0.926,0.935,0.871
92614372,1993,2.333,91,0,0.598,0.926,0.738
92619168,1995,2.625,119,1,0.875,0.87,0.801
92619265,1994,2.75,106,1,0.905,0.955,0.977
92619366,1993,3.733,118,1,0.764,0.847,0.51
92619368,1996,2.9,115,1,0.723,0.962,0.938
92619869,1994,3.125,103,1,0.764,0.847,0.51
92624977,1994,2.286,110,1,0.838,0.946,0.903
92676153,1992,2,91,1,0.98,0.84,0.925
