aid,year,gpa,pvt,grad,fam_mig,fam_inc,fam_edu,avg_peer_gpa
57111786,1994,3.333,108,1,0.925,0.818,0.86,2.56935967741936
57141051,1994,3.667,122,1,0.978,0.938,0.731,2.56882096774194
57145151,1994,4,115,1,0.661,0.919,0.777,2.56828387096774
57165081,1994,2.917,75,1,0.687,0.962,0.951,2.57003064516129
57192841,1994,3.412,120,1,0.638,0.934,0.402,2.56923225806452
57203993,1994,1.75,100,1,0.631,0.897,0.879,2.57191290322581
57211375,1994,2.267,114,1,0.988,0.978,0.785,2.57107903225807
57217465,1994,2.917,66,1,0.895,0.941,0.886,2.57003064516129
57218874,1994,1.75,87,1,0.866,0.932,0.948,2.57191290322581
57239363,1994,0.667,90,0,0.814,0.934,0.775,2.57365967741936
57241075,1994,1.583,93,0,0.979,0.921,0.697,2.57218225806452
57245315,1994,1.429,77,1,0.583,0.857,0.838,2.57243064516129
57256290,1994,0.75,104,0,0.935,0.885,0.799,2.57352580645161
57265490,1994,1.933,93,1,0.905,0.913,0.779,2.57161774193548
57272274,1994,0.5,91,0,0.87,0.976,0.919,2.57392903225807
57277290,1994,4,106,1,0.894,0.955,0.992,2.56828387096774
90500459,1994,0.769,90,1,0.764,0.92,0.834,2.57349516129032
90504504,1994,3.583,90,1,0.744,0.884,0.767,2.5689564516129
90504603,1994,1.929,116,1,0.632,0.936,0.896,2.57162419354839
90506268,1994,2,91,1,0.938,0.926,0.853,2.57150967741936
90506285,1994,0.4,104,0,1,0.874,0.768,2.57409032258065
90508165,1994,2.667,99,1,0.782,0.917,0.873,2.57043387096774
90548078,1994,2.833,90,1,0.934,0.886,0.795,2.57016612903226
90570190,1994,2.5,79,1,0.89,0.918,0.836,2.57070322580645
90570720,1994,3.25,114,1,0.779,0.921,0.868,2.5694935483871
90571069,1994,1.667,108,1,0.856,0.902,0.853,2.57204677419355
90571211,1994,2.25,103,1,0.875,0.858,0.903,2.5711064516129
90571315,1994,2.222,104,1,0.688,0.934,0.9,2.57115161290323
90572007,1994,3.421,107,1,0.814,0.829,0.84,2.56921774193548
90572049,1994,2.933,106,1,0.888,0.876,0.851,2.57000483870968
90572269,1994,3.071,118,1,0.593,0.944,0.954,2.56978225806452
90572280,1994,2.429,78,0,0.699,0.949,0.921,2.57081774193548
90572283,1994,3.588,112,1,0.744,0.94,0.936,2.56894838709677
90572303,1994,4,102,1,0.814,0.829,0.84,2.56828387096774
90572986,1994,2.071,102,1,0.744,0.94,0.936,2.57139516129032
90574133,1994,2.294,111,0,0.934,0.895,0.782,2.57103548387097
90574197,1994,1.727,106,1,0.791,0.854,0.77,2.57195
90574204,1994,1.909,91,1,0.724,0.967,0.828,2.5716564516129
90574392,1994,3.583,87,1,0.802,0.935,0.842,2.5689564516129
90574489,1994,3.231,104,1,0.786,0.914,0.646,2.56952419354839
90574918,1994,1.625,103,1,0.646,0.971,0.962,2.57211451612903
90574992,1994,3,104,0,0.852,0.873,0.685,2.56989677419355
90575009,1994,2.375,104,1,0.863,0.949,0.944,2.57090483870968
90575111,1994,3,122,1,0.905,0.913,0.921,2.56989677419355
90575333,1994,2.9,107,1,0.942,0.963,0.889,2.57005806451613
90575354,1994,3.429,102,1,0.765,0.883,0.885,2.56920483870968
90575378,1994,3.5,119,1,0.564,0.931,0.991,2.56909032258065
90575834,1994,3.7,104,0,0.824,0.97,0.979,2.56876774193548
90575946,1994,3.714,110,1,0.894,0.936,0.722,2.56874516129032
90575950,1994,4,107,1,0.753,0.96,0.905,2.56828387096774
90575982,1994,1.143,79,1,0.834,0.918,0.89,2.57289193548387
90576026,1994,4,95,1,0.943,0.927,0.86,2.56828387096774
90576057,1994,3.563,116,1,0.978,0.938,0.731,2.56898870967742
90576248,1994,3,120,1,0.955,0.906,0.974,2.56989677419355
90576336,1994,1.813,95,1,0.98,0.93,0.9,2.57181129032258
90576412,1994,3.214,115,1,0.964,0.942,0.769,2.56955161290323
90576445,1994,3,116,1,0.75,0.916,0.988,2.56989677419355
90576561,1994,1.929,95,1,0.781,0.859,0.804,2.57162419354839
90576687,1994,2.583,120,1,0.867,0.926,0.811,2.57056935483871
90576844,1994,3.231,122,1,0.821,0.907,0.954,2.56952419354839
90577411,1994,3.5,112,1,0.976,0.928,0.997,2.56909032258065
90577817,1994,3.5,104,1,0.659,0.926,0.897,2.56909032258065
90578496,1994,2.333,108,1,0.59,0.823,0.645,2.57097258064516
90578620,1994,3.091,111,1,0.984,0.946,0.92,2.56975
90578923,1994,3.167,104,1,0.811,0.932,0.828,2.56962741935484
90578927,1994,2.333,90,0,0.811,0.935,0.828,2.57097258064516
90579271,1994,2.917,106,1,0.836,0.948,0.83,2.57003064516129
90579272,1994,1.5,93,1,0.873,0.957,0.855,2.57231612903226
90579296,1994,2.125,95,1,0.785,0.958,0.822,2.57130806451613
90619260,1994,3,110,1,0.816,0.98,0.881,2.56989677419355
90676829,1994,1,90,1,0.621,0.955,0.984,2.57312258064516
90710386,1994,2.714,91,1,0.967,0.922,0.9,2.57035806451613
90716990,1994,1.462,81,0,0.713,0.924,0.859,2.57237741935484
90717167,1994,3.462,114,0,0.788,0.946,0.834,2.56915161290323
91500373,1994,2.688,111,1,0.839,0.886,0.78,2.5704
91500411,1994,3,82,1,0.796,0.873,0.817,2.56989677419355
91500977,1994,3.813,111,1,0.964,0.883,0.903,2.56858548387097
91504485,1994,3.267,111,1,0.907,0.948,0.805,2.56946612903226
91504702,1994,3.5,93,1,0.736,0.919,0.929,2.56909032258065
91504729,1994,3.636,91,1,0.839,0.831,0.748,2.56887096774194
91504929,1994,3.643,108,1,0.674,0.884,0.818,2.56885967741936
91507316,1994,3.357,103,1,0.811,0.937,0.876,2.56932096774194
91508169,1994,2.5,93,1,0.925,0.818,0.86,2.57070322580645
91540215,1994,1.929,100,1,0.988,0.928,0.922,2.57162419354839
91546074,1994,4,108,1,0.987,0.922,0.815,2.56828387096774
91546574,1994,3.467,108,1,0.946,0.913,0.803,2.5691435483871
91570095,1994,1.5,96,1,0.89,0.918,0.836,2.57231612903226
91570291,1994,3.667,104,1,0.701,0.887,0.799,2.56882096774194
91570425,1994,2.5,104,1,0.779,0.921,0.868,2.57070322580645
91570692,1994,3.25,108,1,0.7,0.959,0.924,2.5694935483871
91570823,1994,0.556,87,1,0.823,0.908,0.727,2.57383870967742
91570997,1994,4,119,1,0.924,0.913,0.782,2.56828387096774
91571005,1994,1.571,91,1,0.565,0.898,0.899,2.57220161290323
91571310,1994,3.889,104,1,0.875,0.858,0.903,2.56846290322581
91571560,1994,3,119,1,0.902,0.962,0.926,2.56989677419355
91571601,1994,3,95,1,0.704,0.913,0.87,2.56989677419355
91572063,1994,3.929,104,1,0.791,0.944,0.849,2.56839838709677
91572117,1994,1,100,1,0.865,0.948,0.769,2.57312258064516
91572190,1994,1.929,87,1,0.921,0.938,0.836,2.57162419354839
91572328,1994,3.714,87,1,0.862,0.915,0.831,2.56874516129032
91572381,1994,3.143,106,1,0.462,0.922,0.822,2.56966612903226
91572396,1994,3.357,103,1,0.852,0.937,0.836,2.56932096774194
91573016,1994,2.375,91,1,0.856,0.927,0.901,2.57090483870968
91573254,1994,3.077,114,1,0.829,0.95,0.789,2.56977258064516
91573258,1994,2.214,78,1,0.924,0.936,0.867,2.57116451612903
91574337,1994,1.556,83,1,0.818,0.933,0.887,2.57222580645161
91574594,1994,0,96,0,0.856,0.696,0.816,2.57473548387097
91575065,1994,3.6,107,1,0.529,0.897,0.932,2.56892903225807
91575077,1994,3.133,119,1,0.564,0.931,0.991,2.56968225806452
91575094,1994,1.571,90,1,0.782,0.938,0.908,2.57220161290323
91575180,1994,0.286,104,0,0.641,0.917,0.958,2.57427419354839
91575522,1994,3.538,114,1,0.818,0.957,0.889,2.56902903225806
91575602,1994,3.25,75,1,0.721,0.912,0.952,2.5694935483871
91575956,1994,2.643,100,1,0.766,0.955,0.935,2.57047258064516
91576138,1994,3,91,1,0.98,0.93,0.9,2.56989677419355
91576270,1994,2.5,103,1,0.974,0.912,0.74,2.57070322580645
91576576,1994,1.167,107,1,0.673,0.956,0.866,2.57285322580645
91576934,1994,1.571,90,1,0.998,0.958,0.889,2.57220161290323
91577311,1994,3.929,114,1,0.723,0.915,0.764,2.56839838709677
91577319,1994,1.2,106,1,0.811,0.937,0.876,2.5728
91577613,1994,3.786,107,1,0.836,0.969,0.893,2.56862903225806
91577786,1994,0.625,78,1,0.787,0.985,0.843,2.57372741935484
91578197,1994,4,99,1,0.877,0.957,0.834,2.56828387096774
91578510,1994,2.25,90,1,0.982,0.91,0.894,2.5711064516129
91579243,1994,1.417,112,1,0.639,0.937,0.874,2.57245
91579962,1994,2.083,107,1,0.662,0.978,0.958,2.57137580645161
91579995,1994,3.6,107,1,0.795,0.938,0.838,2.56892903225807
91676958,1994,2.667,79,1,0.859,0.832,0.887,2.57043387096774
91678373,1994,1.143,114,1,0.926,0.935,0.871,2.57289193548387
91717862,1994,2,83,1,0.949,0.93,0.91,2.57150967741936
91717865,1994,2,100,1,0.657,0.947,0.832,2.57150967741936
91719375,1994,0.8,90,0,0.836,0.948,0.83,2.57344516129032
92504229,1994,3.933,106,1,0.674,0.884,0.818,2.56839193548387
92504284,1994,2.417,104,1,0.991,0.922,0.795,2.57083709677419
92507952,1994,2.727,106,1,0.996,0.871,0.857,2.57033709677419
92570284,1994,2.571,69,1,0.992,0.917,0.759,2.57058870967742
92570676,1994,2.214,104,1,0.88,0.888,0.924,2.57116451612903
92571208,1994,2.857,116,1,0.911,0.909,0.919,2.57012741935484
92571270,1994,0.5,90,0,0.687,0.894,0.776,2.57392903225807
92571476,1994,1.167,87,1,0.774,0.942,0.881,2.57285322580645
92572106,1994,4,108,1,0.69,0.879,0.79,2.56828387096774
92572162,1994,1.923,103,1,0.757,0.936,0.817,2.57163387096774
92572290,1994,2.071,79,1,0.852,0.937,0.836,2.57139516129032
92572323,1994,1,81,0,0.589,0.887,0.836,2.57312258064516
92572803,1994,1.063,106,1,0.638,0.924,0.906,2.57302096774194
92572916,1994,2.462,100,1,0.726,0.951,0.854,2.57076451612903
92572919,1994,0.833,102,1,0.814,0.934,0.775,2.57339193548387
92572986,1994,3.882,115,1,0.744,0.94,0.936,2.56847419354839
92573232,1994,2.438,111,1,0.905,0.913,0.779,2.57080322580645
92573316,1994,3.455,118,1,0.701,0.929,0.909,2.56916290322581
92574200,1994,2.667,116,1,0.703,0.896,0.959,2.57043387096774
92574614,1994,1.571,85,1,0.607,0.915,0.896,2.57220161290323
92574703,1994,2,98,1,0.731,0.916,0.743,2.57150967741936
92574794,1994,0.545,100,0,0.718,0.868,0.783,2.5738564516129
92575180,1994,2.462,104,1,0.641,0.917,0.958,2.57076451612903
92575240,1994,4,119,1,0.85,0.943,0.965,2.56828387096774
92575244,1994,4,107,1,0.663,0.913,0.822,2.56828387096774
92575373,1994,3.533,114,1,0.564,0.931,0.991,2.56903709677419
92575400,1994,2.667,119,1,0.614,0.901,0.908,2.57043387096774
92575421,1994,3.688,104,1,0.744,0.944,0.797,2.56878709677419
92575526,1994,1.333,89,1,0.705,0.865,0.86,2.57258548387097
92575868,1994,2.667,111,1,0.529,0.897,0.932,2.57043387096774
92575971,1994,2.722,119,1,0.564,0.931,0.991,2.57034516129032
92575995,1994,3.857,95,1,0.831,0.884,0.866,2.56851451612903
92575999,1994,2.357,108,1,0.881,0.949,0.904,2.57093387096774
92576033,1994,3.067,104,1,0.923,0.928,0.926,2.56978870967742
92576533,1994,4,122,1,0.668,0.773,0.699,2.56828387096774
92577127,1994,3.375,118,1,0.76,0.856,0.771,2.56929193548387
92577217,1994,4,104,1,0.78,0.919,0.958,2.56828387096774
92577514,1994,2.333,106,1,0.924,0.944,0.946,2.57097258064516
92577929,1994,4,120,1,0.97,0.9,0.778,2.56828387096774
92578067,1994,3.444,107,1,0.63,0.932,0.849,2.56918064516129
92578283,1994,3.786,106,1,0.924,0.915,0.872,2.56862903225806
92578310,1994,1.625,83,0,0.714,0.933,0.862,2.57211451612903
92578562,1994,2,106,1,0.969,0.942,0.808,2.57150967741936
92579238,1994,1.75,87,1,0.779,0.944,0.984,2.57191290322581
92579292,1994,2.889,108,1,0.785,0.958,0.822,2.57007580645161
92579335,1994,2.625,102,1,0.866,0.932,0.948,2.57050161290323
92579965,1994,2.727,104,1,0.559,0.956,0.884,2.57033709677419
92579970,1994,0.5,90,1,0.873,0.957,0.855,2.57392903225807
92579993,1994,2.7,95,1,0.795,0.938,0.838,2.57038064516129
92619265,1994,2.75,106,1,0.905,0.955,0.977,2.5703
92619869,1994,3.125,103,1,0.764,0.847,0.51,2.56969516129032
92624977,1994,2.286,110,1,0.838,0.946,0.903,2.57104838709677
92676421,1994,1.333,90,1,0.875,0.905,0.957,2.57258548387097
92710581,1994,0.286,91,0,0.922,0.878,0.616,2.57427419354839
92717265,1994,2.786,104,1,0.83,0.964,0.929,2.57024193548387
93503507,1994,3.167,73,1,0.877,0.949,0.839,2.56962741935484
93504823,1994,3.267,119,1,0.735,0.874,0.909,2.56946612903226
93506053,1994,3.2,107,1,0.954,0.91,0.905,2.56957419354839
93506226,1994,4,93,1,0.99,0.852,0.885,2.56828387096774
93506273,1994,2.917,91,1,0.94,0.915,0.777,2.57003064516129
93506487,1994,2.583,90,1,0.765,0.923,0.908,2.57056935483871
93508287,1994,0.308,79,0,0.814,0.945,0.956,2.57423870967742
93508623,1994,1.286,73,1,0.81,0.931,0.919,2.57266129032258
93540151,1994,1.231,73,1,0.778,0.939,0.947,2.57275
93546224,1994,1.556,106,1,0.871,0.868,0.928,2.57222580645161
93570226,1994,2.25,87,1,0.839,0.905,0.881,2.5711064516129
93570292,1994,2.7,91,1,0.646,0.852,0.95,2.57038064516129
93570695,1994,1.917,111,1,0.795,0.891,0.807,2.5716435483871
93570721,1994,4,115,1,0.694,0.961,0.796,2.56828387096774
93571506,1994,0.714,107,1,0.527,0.928,0.857,2.57358387096774
93571707,1994,2.429,106,1,0.622,0.911,0.818,2.57081774193548
93572283,1994,3.941,107,1,0.919,0.952,0.919,2.56837903225807
93572346,1994,2.857,93,1,0.855,0.91,0.856,2.57012741935484
93572390,1994,2.462,102,1,0.921,0.938,0.836,2.57076451612903
93572393,1994,3.214,103,1,0.852,0.937,0.836,2.56955161290323
93572910,1994,3.083,118,1,0.777,0.958,0.79,2.56976290322581
93572988,1994,1.75,83,1,0.699,0.949,0.921,2.57191290322581
93573190,1994,1.143,83,1,0.823,0.934,0.805,2.57289193548387
93573496,1994,4,120,1,0.608,0.954,0.798,2.56828387096774
93573951,1994,3.267,108,1,0.833,0.841,0.845,2.56946612903226
93575027,1994,1.857,85,1,0.629,0.947,0.882,2.57174032258065
93575117,1994,3.75,115,1,0.645,0.873,0.856,2.56868709677419
93575122,1994,2.375,106,1,0.629,0.947,0.882,2.57090483870968
93575184,1994,3.231,111,1,0.525,0.915,0.994,2.56952419354839
93575290,1994,3.643,102,1,0.732,0.919,0.892,2.56885967741936
93575336,1994,2.4,107,1,0.942,0.963,0.889,2.57086451612903
93575395,1994,2.643,77,1,0.911,0.935,0.926,2.57047258064516
93575400,1994,3.625,112,1,0.721,0.912,0.952,2.56888870967742
93575425,1994,1.875,90,1,0.691,0.941,0.863,2.57171129032258
93575625,1994,2.688,75,1,0.605,0.939,0.835,2.5704
93575820,1994,1,86,0,0.744,0.944,0.797,2.57312258064516
93575980,1994,3.6,104,0,0.981,0.83,0.646,2.56892903225807
93576009,1994,2.667,104,1,0.738,0.834,0.827,2.57043387096774
93576343,1994,3.333,85,0,0.916,0.925,0.878,2.56935967741936
93576574,1994,2.583,90,1,0.987,0.922,0.815,2.57056935483871
93577184,1994,3.591,107,1,0.885,0.966,0.871,2.5689435483871
93577922,1994,2.571,108,1,0.798,0.929,0.778,2.57058870967742
93578040,1994,3.25,98,1,0.961,0.909,0.873,2.5694935483871
93578116,1994,3.375,89,1,0.855,0.936,0.904,2.56929193548387
93578170,1994,2.636,96,1,0.926,0.932,0.845,2.57048387096774
93578231,1994,3.167,119,1,0.909,0.915,0.944,2.56962741935484
93578314,1994,2.625,96,1,0.847,0.955,0.856,2.57050161290323
93578347,1994,3.111,119,1,0.77,0.937,0.81,2.56971774193548
93578447,1994,3.556,104,1,0.903,0.948,0.868,2.569
93578500,1994,1.75,73,1,0.56,0.909,0.945,2.57191290322581
93578536,1994,3.5,112,1,0.941,0.925,0.904,2.56909032258065
93578937,1994,2.286,107,1,0.908,0.901,0.862,2.57104838709677
93579934,1994,3.375,114,1,0.779,0.944,0.984,2.56929193548387
93579966,1994,1.833,104,0,0.718,0.943,0.932,2.57177903225807
93579993,1994,3.1,94,1,0.795,0.938,0.838,2.56973548387097
93593001,1994,1.455,89,1,0.888,0.947,0.587,2.57238870967742
93614977,1994,2.75,115,1,0.616,0.862,0.781,2.5703
93676351,1994,3.038,115,1,0.981,0.94,0.984,2.56983548387097
93710489,1994,2.714,119,1,0.965,0.932,0.696,2.57035806451613
93710587,1994,3.143,75,1,0.986,0.934,0.689,2.56966612903226
93714941,1994,1.571,116,1,0.765,0.88,0.767,2.57220161290323
93716993,1994,1.833,82,1,0.681,0.941,0.95,2.57177903225807
93717265,1994,3.786,103,1,0.961,0.947,0.744,2.56862903225806
93717464,1994,1.786,71,1,0.728,0.942,0.862,2.57185483870968
93717868,1994,2.429,73,1,0.56,0.911,0.876,2.57081774193548
94503909,1994,1.929,106,0,0.781,0.922,0.622,2.57162419354839
94506342,1994,3.75,91,1,0.574,0.893,0.937,2.56868709677419
94508237,1994,2.083,99,1,0.941,0.925,0.904,2.57137580645161
94508567,1994,2.857,87,1,0.989,0.954,0.808,2.57012741935484
94508733,1994,3.417,116,1,0.874,0.905,0.821,2.56922419354839
94543907,1994,3,108,1,0.847,0.947,0.875,2.56989677419355
94544304,1994,2.154,44,1,0.694,0.918,0.83,2.57126129032258
94570479,1994,2.643,106,1,0.91,0.972,0.792,2.57047258064516
94570694,1994,2.333,78,1,0.53,0.904,0.834,2.57097258064516
94570921,1994,2,116,1,0.51,0.923,0.79,2.57150967741936
94571074,1994,2,78,1,0.645,0.887,0.824,2.57150967741936
94571176,1994,3,93,1,0.885,0.937,0.89,2.56989677419355
94571279,1994,0.615,73,0,0.49,0.967,0.921,2.5737435483871
94571468,1994,3.636,118,1,0.753,0.873,0.936,2.56887096774194
94571502,1994,3.714,108,1,0.758,0.907,0.901,2.56874516129032
94571971,1994,0.615,111,0,0.942,0.921,0.917,2.5737435483871
94572066,1994,4,112,1,0.593,0.944,0.954,2.56828387096774
94572194,1994,3.143,119,1,0.921,0.938,0.836,2.56966612903226
94572308,1994,3.632,106,1,0.814,0.829,0.84,2.56887741935484
94572380,1994,2.75,87,1,0.744,0.94,0.936,2.5703
94572929,1994,0.273,91,0,0.862,0.915,0.831,2.57429516129032
94573418,1994,2.286,104,1,0.935,0.931,0.856,2.57104838709677
94573439,1994,2.143,91,1,0.74,0.915,0.605,2.57127903225807
94574128,1994,3.923,119,1,0.793,0.924,0.809,2.56840806451613
94574135,1994,0,83,0,0.898,0.941,0.976,2.57473548387097
94574412,1994,0.385,98,0,0.815,0.936,0.861,2.57411451612903
94574815,1994,1,77,0,0.617,0.962,0.916,2.57312258064516
94575026,1994,2,95,1,0.605,0.939,0.835,2.57150967741936
94575228,1994,2.5,69,1,0.605,0.939,0.835,2.57070322580645
94575247,1994,3,114,1,0.81,0.87,0.825,2.56989677419355
94575261,1994,2.375,114,1,0.588,0.934,0.975,2.57090483870968
94575263,1994,3,119,1,0.529,0.897,0.932,2.56989677419355
94575278,1994,2.067,114,1,0.564,0.931,0.991,2.57140161290323
94575308,1994,2.75,86,1,0.926,0.956,0.918,2.5703
